spoofed,PDOP,HDOP,VDOP
0,19.8,19.3,4.4
0,19.8,19.3,4.4
0,19.8,19.3,4.4
0,6.0,4.8,3.5
0,2.1,1.4,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.0,1.3,1.6
0,2.3,1.5,1.8
0,2.3,1.5,1.8
0,2.0,1.3,1.6
0,2.3,1.5,1.8
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.5,1.8
0,3.7,2.6,2.7
0,6.0,4.9,3.5
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.5,1.8
0,2.3,1.5,1.8
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,3.7,2.6,2.7
0,3.7,2.6,2.7
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.5,1.8
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.9,1.9,2.2
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.3,1.6,1.6
0,2.2,1.5,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.2,1.5,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.0,1.2,1.6
0,2.1,1.2,1.8
0,2.0,1.2,1.6
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.1,1.2,1.8
0,2.4,1.5,1.8
0,2.1,1.2,1.8
0,3.0,2.0,2.2
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
0,2.4,1.5,1.8
