spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sv_prn_1,sv_prn_2,sv_prn_3,sv_prn_4,sv_prn_5,sv_prn_6,sv_prn_7,sv_prn_8,sv_prn_9,sv_prn_10,sv_prn_11,sv_prn_12,sv_prn_13,sv_prn_14,sv_prn_15,sv_prn_16,sv_prn_17,sv_prn_18,sv_prn_19,sv_prn_20,sv_prn_21,sv_prn_22,sv_prn_23,sv_prn_24,sv_prn_25,sv_prn_26,sv_prn_27,sv_prn_28,sv_prn_29,sv_prn_30,sv_prn_31,sv_prn_32
1,0.06402430661201698,0.9979483394258695,-0.9942646409929797,-0.10694776141229456,-0.21833598240814356,-0.9758736592335459,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0.05640236480432098,0.9984081195806053,-0.9942603302902373,-0.10698782926645554,-0.21833362004019366,-0.9758741877722478,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0.05850782014856268,0.998286950220959,-0.9942644021291274,-0.1069499820421156,-0.21833915919772967,-0.9758729484727141,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0.059596747258097514,0.9982225341657313,-0.9942643829028293,-0.10695016077994521,-0.2183388367214729,-0.9758730206226187,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0.06351628838005142,0.9979808019748787,-0.9942616768386977,-0.10697531476888063,-0.21832644748356864,-0.9758757924701301,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0.06220988052144236,0.9980630895717504,-0.9942641991002866,-0.10695186949027821,-0.2183391861653736,-0.9758729424390464,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.0647500181304249,0.9979015157579979,-0.9942644999400881,-0.1069490727350476,-0.2183348293274796,-0.9758739172160205,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
0,0.06133888259144202,0.9981169978927487,-0.9942617503388428,-0.10697463163358237,-0.21832768203733408,-0.9758755162704948,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.05763662827295744,0.9983376277999968,-0.9942620118486779,-0.10697220103662208,-0.21833684792811603,-0.9758734655870169,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0.05662018232238288,0.9983957907332042,-0.994263965454021,-0.1069540415302082,-0.21833914784293257,-0.9758729510132055,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
2,0.0643871666276125,0.9979249935609731,-0.9942642838464413,-0.10695108165569532,-0.21833610418843175,-0.9758736319871637,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.0574188234198894,0.9983501784028866,-0.9942620174497279,-0.10697214897718497,-0.21833683572170223,-0.9758734683180164,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.06387916023294575,0.997957640828474,-0.994264606647662,-0.10694808071101508,-0.21833721667534067,-0.9758733830853598,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
1,0.05945156104584836,0.9982311916030333,-0.9942611025754267,-0.10698065201473073,-0.2183369688567707,-0.9758734385310616,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
