spoofed,time_sin,time_cos,lat_sin,lat_cos,long_sin,long_cos,n_satellites,sv_prn_1,sv_prn_2,sv_prn_3,sv_prn_4,sv_prn_5,sv_prn_6,sv_prn_7,sv_prn_8,sv_prn_9,sv_prn_10,sv_prn_11,sv_prn_12,sv_prn_13,sv_prn_14,sv_prn_15,sv_prn_16,sv_prn_17,sv_prn_18,sv_prn_19,sv_prn_20,sv_prn_21,sv_prn_22,sv_prn_23,sv_prn_24,sv_prn_25,sv_prn_26,sv_prn_27,sv_prn_28,sv_prn_29,sv_prn_30,sv_prn_31,sv_prn_32
4,0.0603952488079503,0.9981745408100858,-0.9942645701245398,-0.10694842025511206,-0.21834007411043085,-0.9758727437721845,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06104853953485687,0.9981347984218669,-0.9942645994923747,-0.10694814723157987,-0.21834008773618493,-0.9758727407235818,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.053425260726145896,0.9985718509533219,-0.9942646814979237,-0.10694738484802885,-0.2183415763495473,-0.9758724076625974,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06750740633736844,0.9977187730465943,-0.9942646315978034,-0.10694784875669186,-0.21833930482300365,-0.9758729158909,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06540312923014306,0.9978589232386035,-0.9942646794446811,-0.10694740393653998,-0.21833902833368843,-0.9758729777518695,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05916118485150861,0.9982484431277444,-0.9942647956078592,-0.10694632398947591,-0.21833960686059276,-0.9758728483137349,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.0612662973129218,0.9981214559428951,-0.9942646010478723,-0.10694813277058776,-0.21834008262652732,-0.9758727418668077,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.04914030865287662,0.9987918852621401,-0.9942647281624287,-0.10694695101821095,-0.21834230986898848,-0.9758722435447555,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06017747946929344,0.9981876932544915,-0.994264542747677,-0.10694867476856824,-0.21833987568538454,-0.9758727881674387,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05524062628844847,0.9984730708473113,-0.9942647300290051,-0.10694693366501727,-0.21833978740184845,-0.9758728079198209,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06641902403936761,0.9977918185902598,-0.9942646531258121,-0.10694764861654722,-0.21833913308169625,-0.975872954315844,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05110133594787044,0.9986934732260659,-0.9942647883904704,-0.10694639108849403,-0.21834043150258767,-0.9758726638098147,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06620133805439057,0.9978062852276529,-0.9942646529391532,-0.10694765035186725,-0.21833912343011821,-0.9758729564752615,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06881335894824571,0.9976295513016141,-0.9942646691162432,-0.10694749995753741,-0.21833957109298496,-0.9758728563162987,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.0648225874052317,0.9978968043651062,-0.9942648047540263,-0.1069462389588243,-0.21833904706910504,-0.9758729735600608,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05306216623122046,0.9985912109140809,-0.9942646757115119,-0.10694743864292464,-0.21834150453049303,-0.9758724237313814,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05937896746791773,0.9982355124029819,-0.9942648323791403,-0.10694598213154177,-0.2183393996355575,-0.9758728946777774,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.050011900178008356,0.9987486219467764,-0.9942646260602456,-0.10694790023782615,-0.21834229737872024,-0.9758722463393364,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06787018265002023,0.9976941607061018,-0.994264630228969,-0.1069478614823662,-0.21833932071971993,-0.9758729123342093,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06220988052144236,0.9980630895717504,-0.9942646821201183,-0.10694737906363153,-0.21834119823498885,-0.9758724922618268,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06765251793615326,0.997708943939513,-0.9942646304156284,-0.10694785974704621,-0.21833930936492235,-0.9758729148747027,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.0484139537671453,0.9988273569945072,-0.9942650157360414,-0.10694427746919993,-0.21834240752017373,-0.9758722216962088,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05073819738346552,0.9987119881759088,-0.9942648205575906,-0.10694609203510949,-0.21834065462428529,-0.9758726138888408,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06068560345276681,0.9981569303138528,-0.9942645725511221,-0.1069483976959659,-0.21834007325882124,-0.9758727439627221,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.0672897362625552,0.9977334771339066,-0.9942646312244849,-0.10694785222733096,-0.21833928410049913,-0.9758729205272998,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05662018232238288,0.9983957907332042,-0.9942650131851173,-0.10694430118523687,-0.2183393454164031,-0.9758729068086359,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.058580417469460515,0.998282692772495,-0.994264789697067,-0.10694637894125834,-0.21834007524591076,-0.9758727435181341,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05190021694002829,0.9986522755602062,-0.9942647284113058,-0.10694694870445103,-0.21834043689611515,-0.9758726626030743,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.052553822163076205,0.998618093054623,-0.9942646935062743,-0.10694727320915816,-0.21834063106308887,-0.9758726191603965,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05538584772514657,0.9984650258630829,-0.9942647937412935,-0.10694634134267073,-0.21833974737619335,-0.9758728168750783,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.0560393296469963,0.9984285620577544,-0.9942649048014212,-0.10694530882755394,-0.21833947400947556,-0.975872878037537,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.052844306163763635,0.998602763518142,-0.9942646700495362,-0.10694749128094067,-0.21834125444120833,-0.9758724796862751,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06714462109939906,0.9977432534762729,-0.9942646315978034,-0.10694784875669186,-0.21833927785536092,-0.9758729219245709,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.061121125784245355,0.9981303562074778,-0.9942645989323955,-0.10694815243753704,-0.21834008574909586,-0.9758727411681697,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05008453109508681,0.9987449823378265,-0.9942646260602456,-0.10694790023782615,-0.21834229737872024,-0.9758722463393364,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06279051952931336,0.9980267284282716,-0.9942648407164363,-0.10694590462060473,-0.2183400712717326,-0.9758727444073099,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06699950451586645,0.9977530087123909,-0.9942646361398433,-0.10694780653059258,-0.21833926422960429,-0.9758729249731621,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.0579996302600623,0.9983166045347017,-0.9942648670970947,-0.1069456593621106,-0.21834002925899057,-0.9758727538071668,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.056983205525319984,0.9983751370542333,-0.9942649258933917,-0.10694511273643344,-0.21833934882284206,-0.9758729060464878,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05894339941923583,0.9982613263394032,-0.9942647952345461,-0.1069463274601147,-0.21833998497528959,-0.975872763715122,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06511286107248067,0.997877906020048,-0.994264698732703,-0.1069472246202182,-0.21833897950805867,-0.9758729886759749,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.06387916023294575,0.997957640828474,-0.9942648583242881,-0.10694574092212943,-0.2183392500361082,-0.9758729281487779,12,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.04972137386865785,0.9987631275635946,-0.9942645959458392,-0.10694818020264359,-0.21834255853886325,-0.9758721879071578,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
4,0.05168234357798477,0.9986635746648053,-0.9942647166518684,-0.10694705802956751,-0.21834054363117758,-0.9758726387223088,11,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0
