spoofed,GGA_gps_qi,GGA_sat_num,GGA_hdop,GGA_antenna_alt,GGA_geoidal_sep,GGA_age_of_diff_gps_data,GGA_diff_ref_station_id,GPGSV_sat_in_view,GPGSV_prn_0,GPGSV_elevation_0,GPGSV_azimuth_0,GPGSV_snr_0,GPGSV_prn_1,GPGSV_elevation_1,GPGSV_azimuth_1,GPGSV_snr_1,GPGSV_prn_2,GPGSV_elevation_2,GPGSV_azimuth_2,GPGSV_snr_2,GPGSV_prn_3,GPGSV_elevation_3,GPGSV_azimuth_3,GPGSV_snr_3,GPGSV_prn_4,GPGSV_elevation_4,GPGSV_azimuth_4,GPGSV_snr_4,GPGSV_prn_5,GPGSV_elevation_5,GPGSV_azimuth_5,GPGSV_snr_5,GPGSV_prn_6,GPGSV_elevation_6,GPGSV_azimuth_6,GPGSV_snr_6,GPGSV_prn_7,GPGSV_elevation_7,GPGSV_azimuth_7,GPGSV_snr_7,GPGSV_prn_8,GPGSV_elevation_8,GPGSV_azimuth_8,GPGSV_snr_8,GPGSV_prn_9,GPGSV_elevation_9,GPGSV_azimuth_9,GPGSV_snr_9,GPGSV_prn_10,GPGSV_elevation_10,GPGSV_azimuth_10,GPGSV_snr_10,GPGSV_prn_11,GPGSV_elevation_11,GPGSV_azimuth_11,GPGSV_snr_11,GPGSV_prn_12,GPGSV_elevation_12,GPGSV_azimuth_12,GPGSV_snr_12,GPGSV_prn_13,GPGSV_elevation_13,GPGSV_azimuth_13,GPGSV_snr_13,GPGSV_prn_14,GPGSV_elevation_14,GPGSV_azimuth_14,GPGSV_snr_14,GPGSV_prn_15,GPGSV_elevation_15,GPGSV_azimuth_15,GPGSV_snr_15,GLGSV_sat_in_view,GLGSV_prn_0,GLGSV_elevation_0,GLGSV_azimuth_0,GLGSV_snr_0,GLGSV_prn_1,GLGSV_elevation_1,GLGSV_azimuth_1,GLGSV_snr_1,GLGSV_prn_2,GLGSV_elevation_2,GLGSV_azimuth_2,GLGSV_snr_2,GLGSV_prn_3,GLGSV_elevation_3,GLGSV_azimuth_3,GLGSV_snr_3,GLGSV_prn_4,GLGSV_elevation_4,GLGSV_azimuth_4,GLGSV_snr_4,GLGSV_prn_5,GLGSV_elevation_5,GLGSV_azimuth_5,GLGSV_snr_5,GLGSV_prn_6,GLGSV_elevation_6,GLGSV_azimuth_6,GLGSV_snr_6,GLGSV_prn_7,GLGSV_elevation_7,GLGSV_azimuth_7,GLGSV_snr_7,GLGSV_prn_8,GLGSV_elevation_8,GLGSV_azimuth_8,GLGSV_snr_8,GLGSV_prn_9,GLGSV_elevation_9,GLGSV_azimuth_9,GLGSV_snr_9,GLGSV_prn_10,GLGSV_elevation_10,GLGSV_azimuth_10,GLGSV_snr_10,GLGSV_prn_11,GLGSV_elevation_11,GLGSV_azimuth_11,GLGSV_snr_11,GPGSA_mode1,GPGSA_mode2,GPGSA_sat_used_0,GPGSA_sat_used_1,GPGSA_sat_used_2,GPGSA_sat_used_3,GPGSA_sat_used_4,GPGSA_sat_used_5,GPGSA_sat_used_6,GPGSA_sat_used_7,GPGSA_sat_used_8,GPGSA_sat_used_9,GPGSA_sat_used_10,GPGSA_sat_used_11,GPGSA_pdop,GPGSA_hdop,GPGSA_vdop,GNGSA0_mode1,GNGSA0_mode2,GNGSA0_sat_used_0,GNGSA0_sat_used_1,GNGSA0_sat_used_2,GNGSA0_sat_used_3,GNGSA0_sat_used_4,GNGSA0_sat_used_5,GNGSA0_sat_used_6,GNGSA0_sat_used_7,GNGSA0_sat_used_8,GNGSA0_sat_used_9,GNGSA0_sat_used_10,GNGSA0_sat_used_11,GNGSA0_pdop,GNGSA0_hdop,GNGSA0_vdop,GNGSA1_mode1,GNGSA1_mode2,GNGSA1_sat_used_0,GNGSA1_sat_used_1,GNGSA1_sat_used_2,GNGSA1_sat_used_3,GNGSA1_sat_used_4,GNGSA1_sat_used_5,GNGSA1_sat_used_6,GNGSA1_sat_used_7,GNGSA1_sat_used_8,GNGSA1_sat_used_9,GNGSA1_sat_used_10,GNGSA1_sat_used_11,GNGSA1_pdop,GNGSA1_hdop,GNGSA1_vdop,RMC_status,RMC_speed,RMC_course,RMC_mode
1,1,10,0.8,57.0,45.0,-1,-1,8,04,-1,-1,26,03,29,111,40,07,45,176,38,06,54,276,29,22,10,117,25,09,78,328,34,30,15,196,28,26,09,050,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,80,22,157,30,74,-1,-1,37,68,16,082,37,79,46,096,39,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,22,26,30,-1,-1,-1,-1,-1,1.8,1.1,1.5,A,3,03,06,07,09,22,26,30,-1,-1,-1,-1,-1,1.8,1.1,1.5,A,3,68,79,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.8,1.1,1.5,A,002.3,-1,A
0,1,10,1.2,58.4,45.0,-1,-1,13,09,78,328,34,06,54,276,28,07,45,176,38,03,29,111,43,30,15,196,28,22,10,117,29,26,09,050,25,04,-1,-1,26,23,56,051,-1,19,08,241,-1,17,00,222,-1,02,26,312,-1,16,10,076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,79,46,096,44,80,22,157,30,68,16,082,37,78,-1,-1,36,69,55,040,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,22,26,30,-1,-1,-1,-1,-1,1.8,1.1,1.5,A,3,03,06,07,09,22,26,30,-1,-1,-1,-1,-1,1.8,1.1,1.5,A,3,68,79,80,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.8,1.1,1.5,A,000.0,-1,A
0,1,13,1.2,58.0,45.0,-1,-1,12,09,78,328,34,23,56,051,30,06,54,276,27,07,45,176,38,03,29,111,42,30,15,196,30,22,10,117,29,26,09,050,25,19,08,241,22,16,10,076,32,04,-1,-1,25,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,43,78,24,036,36,80,22,157,30,68,16,082,37,70,38,305,-1,85,36,281,-1,84,21,220,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,79,80,-1,-1,-1,-1,-1,-1,-1,-1,1.7,1.0,1.3,A,001.4,-1,A
0,1,13,0.8,54.4,45.0,-1,-1,12,09,78,328,33,23,56,051,30,06,54,276,27,07,45,176,38,03,29,111,42,30,15,196,35,22,10,117,29,26,09,050,25,19,08,241,24,16,10,076,34,04,-1,-1,25,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,43,78,24,036,35,80,22,157,30,68,16,082,38,70,38,305,-1,85,36,281,-1,84,21,220,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.4,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.4,A,3,68,69,79,80,-1,-1,-1,-1,-1,-1,-1,-1,1.7,1.0,1.4,A,002.4,-1,A
0,1,13,0.8,54.1,45.0,-1,-1,12,09,78,328,34,23,56,051,31,06,54,276,28,07,45,176,39,03,29,111,42,30,15,196,36,22,10,117,28,26,09,050,24,19,08,241,25,16,10,076,33,04,-1,-1,28,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,42,78,24,036,35,80,22,157,33,68,16,082,38,70,38,305,-1,85,36,281,-1,84,21,220,-1,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,79,80,-1,-1,-1,-1,-1,-1,-1,-1,1.7,1.0,1.3,A,002.8,-1,A
1,1,14,0.8,51.7,45.0,-1,-1,12,09,78,328,37,23,56,051,31,06,54,276,33,07,45,176,39,03,29,111,41,30,15,196,39,22,10,117,28,26,09,050,24,19,08,241,26,16,10,076,32,04,-1,-1,31,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,32,79,46,096,42,78,24,036,34,80,22,157,35,68,16,082,38,86,13,336,22,70,38,305,-1,85,36,281,-1,84,21,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,79,80,86,-1,-1,-1,-1,-1,-1,-1,1.7,1.0,1.3,A,003.3,-1,A
0,1,14,0.8,51.0,45.0,-1,-1,12,09,78,328,37,23,56,051,33,06,54,276,33,07,45,176,40,03,29,111,41,30,15,196,39,22,10,117,29,26,09,050,23,19,08,241,32,16,10,076,32,04,-1,-1,31,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,31,79,46,096,42,78,24,036,33,80,23,157,35,68,16,082,37,86,13,336,22,70,38,305,-1,85,36,281,-1,84,21,220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,79,80,86,-1,-1,-1,-1,-1,-1,-1,1.7,1.0,1.3,A,003.0,-1,A
0,1,15,0.6,50.8,45.0,-1,-1,12,09,78,328,36,23,56,051,33,06,54,276,33,07,45,176,40,03,29,111,41,30,15,196,39,22,10,117,29,26,09,050,23,19,08,241,36,16,10,076,31,04,-1,-1,30,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,31,79,46,096,42,78,24,036,33,80,23,157,34,84,21,220,30,68,16,082,37,86,13,336,22,70,38,305,-1,85,36,281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,79,80,84,86,-1,-1,-1,-1,-1,-1,1.7,1.0,1.3,A,003.2,-1,A
0,1,17,0.6,51.0,45.0,-1,-1,12,09,78,328,36,23,56,051,32,06,54,276,33,07,45,176,39,03,29,111,40,30,15,196,38,22,10,117,29,26,09,050,23,19,08,241,35,16,10,076,31,04,-1,-1,30,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,31,79,46,096,41,70,38,305,17,85,36,281,31,78,24,036,32,80,23,157,34,84,21,220,30,68,16,082,36,86,13,336,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,1.0,1.3,A,3,68,69,70,79,80,84,85,86,-1,-1,-1,-1,1.7,1.0,1.3,A,003.9,-1,A
1,1,16,0.6,50.4,45.0,-1,-1,12,09,78,328,35,23,56,051,32,06,54,276,32,07,45,176,39,03,29,111,40,30,15,196,38,22,10,117,33,26,09,050,25,19,08,241,35,16,10,076,30,04,-1,-1,30,02,26,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,9,69,55,040,31,79,46,096,41,70,38,305,17,85,36,281,33,78,24,036,32,80,23,157,33,84,21,220,29,68,16,082,36,86,13,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,0.9,1.4,A,3,03,06,07,09,19,22,23,26,30,-1,-1,-1,1.7,0.9,1.4,A,3,68,69,70,79,80,84,85,-1,-1,-1,-1,-1,1.7,0.9,1.4,A,000.0,-1,A
